,open,close,high,low,volume,money,code,name
2020-04-09,2754.72,2752.59,2760.59,2749.42,2382049700.0,38382876852.0,000016.XSHG,上证50
2020-04-10,2755.2,2749.85,2787.28,2742.52,2544479400.0,43526674662.0,000016.XSHG,上证50
2020-04-13,2740.09,2739.17,2749.48,2731.03,1918766200.0,30636073111.0,000016.XSHG,上证50
2020-04-14,2756.5,2785.72,2785.8,2745.99,2672299500.0,48384370745.0,000016.XSHG,上证50
2020-04-15,2783.28,2764.49,2788.09,2761.44,2305149500.0,42309461738.0,000016.XSHG,上证50
2020-04-16,2751.69,2768.26,2771.43,2750.29,2301637900.0,41776714414.0,000016.XSHG,上证50
2020-04-17,2790.83,2809.08,2825.96,2782.71,3486971900.0,62422703250.0,000016.XSHG,上证50
2020-04-20,2812.8,2819.79,2821.01,2799.92,2762756400.0,48186424309.0,000016.XSHG,上证50
2020-04-21,2808.91,2784.53,2808.91,2767.27,2494367600.0,42654500062.0,000016.XSHG,上证50
2020-04-22,2774.44,2804.24,2804.24,2768.4,2069456300.0,37039162435.0,000016.XSHG,上证50
2020-04-23,2813.73,2797.66,2820.24,2794.46,2452956300.0,40003338633.0,000016.XSHG,上证50
2020-04-24,2789.05,2776.02,2789.05,2770.34,1991477400.0,35854089011.0,000016.XSHG,上证50
2020-04-27,2786.47,2805.22,2818.54,2783.17,2314714000.0,40090088313.0,000016.XSHG,上证50
2020-04-28,2814.23,2825.14,2832.06,2781.15,2708422800.0,47828238905.0,000016.XSHG,上证50
2020-04-29,2814.6,2844.81,2852.1,2814.07,2543013400.0,45196775961.0,000016.XSHG,上证50
2020-04-30,2851.14,2861.91,2882.7,2851.14,3038905300.0,52437640612.0,000016.XSHG,上证50
2020-05-06,2823.29,2863.85,2865.11,2823.27,3545978100.0,59544694245.0,000016.XSHG,上证50
2020-05-07,2860.96,2854.42,2863.16,2845.66,2390200000.0,41458943617.0,000016.XSHG,上证50
2020-05-08,2864.86,2873.01,2883.69,2858.11,2703717900.0,48756760662.0,000016.XSHG,上证50
2020-05-11,2876.77,2871.85,2897.99,2864.96,2530899800.0,46507596881.0,000016.XSHG,上证50
2020-05-12,2871.31,2869.6,2880.5,2855.02,2133015000.0,39257275180.0,000016.XSHG,上证50
2020-05-13,2860.82,2867.71,2869.7,2845.34,1832565100.0,33483747422.0,000016.XSHG,上证50
2020-05-14,2854.78,2834.53,2854.78,2833.95,1981834300.0,36947675246.0,000016.XSHG,上证50
2020-05-15,2845.91,2819.69,2849.17,2818.37,1947058000.0,38909794047.0,000016.XSHG,上证50
2020-05-18,2821.73,2837.17,2849.85,2813.26,2262686600.0,43886596302.0,000016.XSHG,上证50
2020-05-19,2869.23,2860.67,2872.7,2854.89,2270551600.0,42580939710.0,000016.XSHG,上证50
2020-05-20,2861.59,2856.14,2864.67,2847.26,1994922900.0,37561348500.0,000016.XSHG,上证50
2020-05-21,2866.74,2846.82,2867.91,2844.14,1907114500.0,36357586642.0,000016.XSHG,上证50
2020-05-22,2840.88,2775.81,2841.11,2775.31,2597130200.0,46841991567.0,000016.XSHG,上证50
2020-05-25,2784.43,2789.71,2789.82,2762.3,1867492300.0,33629752365.0,000016.XSHG,上证50
2020-05-26,2806.25,2808.84,2811.83,2796.85,1811040900.0,32226210134.0,000016.XSHG,上证50
2020-05-27,2810.47,2795.48,2814.56,2790.84,1975995300.0,33762192930.0,000016.XSHG,上证50
2020-05-28,2797.37,2809.66,2830.46,2785.32,2294337200.0,38842766209.0,000016.XSHG,上证50
2020-05-29,2791.62,2806.66,2813.82,2788.87,2147102600.0,36267708567.0,000016.XSHG,上证50
2020-06-01,2832.22,2870.36,2873.05,2832.22,2843344300.0,52739288749.0,000016.XSHG,上证50
2020-06-02,2864.53,2885.92,2890.81,2862.68,2670394300.0,48136501768.0,000016.XSHG,上证50
2020-06-03,2900.87,2889.11,2922.78,2889.08,2784097500.0,51525905998.0,000016.XSHG,上证50
2020-06-04,2900.96,2883.36,2902.9,2876.44,2189472900.0,36051895058.0,000016.XSHG,上证50
2020-06-05,2886.23,2896.35,2896.35,2871.87,2126970100.0,38224565108.0,000016.XSHG,上证50
2020-06-08,2907.68,2909.59,2925.2,2904.03,2930062900.0,53846965565.0,000016.XSHG,上证50
2020-06-09,2911.95,2928.3,2931.54,2905.84,2440088000.0,44447001974.0,000016.XSHG,上证50
2020-06-10,2925.17,2908.48,2925.17,2905.21,2271766600.0,41298669210.0,000016.XSHG,上证50
2020-06-11,2899.49,2876.51,2907.66,2867.2,2899854300.0,50569232346.0,000016.XSHG,上证50
2020-06-12,2840.8,2884.12,2884.99,2837.55,3409594400.0,51141596561.0,000016.XSHG,上证50
2020-06-15,2862.49,2838.61,2875.03,2838.61,2931049700.0,55344281135.0,000016.XSHG,上证50
2020-06-16,2867.71,2878.99,2879.53,2861.01,2421833300.0,43386145208.0,000016.XSHG,上证50
2020-06-17,2879.85,2881.13,2882.1,2864.16,2224461300.0,42134102733.0,000016.XSHG,上证50
2020-06-18,2872.17,2888.96,2892.12,2860.5,2763430400.0,47707495423.0,000016.XSHG,上证50
2020-06-19,2891.31,2925.94,2933.9,2888.92,3713736100.0,74110248088.0,000016.XSHG,上证50
2020-06-22,2921.3,2921.89,2947.61,2912.49,3726298500.0,72454864319.0,000016.XSHG,上证50
2020-06-23,2913.01,2925.42,2929.8,2902.12,2754012800.0,59578426675.0,000016.XSHG,上证50
2020-06-24,2928.52,2943.47,2947.19,2926.84,3017957300.0,61408737401.0,000016.XSHG,上证50
2020-06-29,2935.54,2925.48,2942.49,2909.45,3248337700.0,64157816353.0,000016.XSHG,上证50
2020-06-30,2933.93,2942.07,2951.12,2928.68,2701559800.0,56079512949.0,000016.XSHG,上证50
2020-07-01,2950.49,3009.86,3010.36,2941.38,4266806900.0,83084456013.0,000016.XSHG,上证50
2020-07-02,3005.36,3084.24,3088.96,3003.78,6722380600.0,118751704735.0,000016.XSHG,上证50
2020-07-03,3101.39,3159.16,3159.17,3101.26,7820941600.0,137578589835.0,000016.XSHG,上证50
2020-07-06,3198.74,3374.14,3384.87,3198.74,12216786900.0,202917638622.0,000016.XSHG,上证50
2020-07-07,3438.86,3381.76,3465.47,3381.76,10862413900.0,199150089199.0,000016.XSHG,上证50
2020-07-08,3378.11,3429.94,3466.63,3371.59,9145721300.0,167555891090.0,000016.XSHG,上证50
2020-07-09,3426.6,3442.02,3451.93,3403.73,8493444000.0,153534471836.0,000016.XSHG,上证50
2020-07-10,3404.0,3351.78,3411.09,3338.59,7904651800.0,139047237039.0,000016.XSHG,上证50
2020-07-13,3338.71,3390.12,3421.94,3327.7,8002418600.0,144465870708.0,000016.XSHG,上证50
2020-07-14,3374.07,3348.03,3391.9,3310.89,7678639500.0,129973787376.0,000016.XSHG,上证50
2020-07-15,3363.92,3313.76,3374.29,3303.15,7041203100.0,133624136730.0,000016.XSHG,上证50
2020-07-16,3313.56,3162.03,3326.69,3162.03,7468306800.0,151041927324.0,000016.XSHG,上证50
2020-07-17,3181.7,3185.89,3223.54,3151.22,4944909900.0,104284759355.0,000016.XSHG,上证50
2020-07-20,3219.92,3287.92,3293.63,3189.47,6304753600.0,124831909493.0,000016.XSHG,上证50
2020-07-21,3302.72,3286.81,3305.2,3272.47,4451198100.0,98108441247.0,000016.XSHG,上证50
2020-07-22,3278.74,3291.36,3354.72,3273.81,5440375100.0,109522096602.0,000016.XSHG,上证50
2020-07-23,3263.07,3284.11,3303.43,3224.51,5566558300.0,106252944262.0,000016.XSHG,上证50
2020-07-24,3265.52,3158.29,3270.56,3136.64,6063813600.0,127518161681.0,000016.XSHG,上证50
2020-07-27,3178.05,3163.23,3194.14,3136.03,3762745600.0,78769806507.0,000016.XSHG,上证50
2020-07-28,3188.96,3185.89,3205.57,3168.9,3571045100.0,81039521931.0,000016.XSHG,上证50
2020-07-29,3184.72,3243.38,3245.7,3171.04,4364869100.0,97413664843.0,000016.XSHG,上证50
2020-07-30,3252.2,3231.52,3263.19,3231.36,3610894500.0,90507937666.0,000016.XSHG,上证50
2020-07-31,3226.42,3249.34,3284.38,3199.91,4289790500.0,97122120535.0,000016.XSHG,上证50
